tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,pickup_hour,trip_duration_min,prediction,abs_error
2026-01-11 13:18:45,116,185,77.1,13,32.88333333333333,239.42838843428567,206.54505510095234
2026-01-27 16:33:23,140,159,68.5,16,41.7,221.42292374329065,179.72292374329066
2026-01-16 10:31:42,186,260,1.06,10,176.73333333333332,10.483905097641477,166.24942823569185
2026-01-08 17:59:42,108,265,98.64,17,111.4,270.8847919539902,159.4847919539902
2026-01-16 10:16:09,47,47,0.1,10,173.11666666666667,28.3756109614191,144.74105570524756
2026-01-15 15:24:15,100,107,1.8,15,156.7,12.590794163646637,144.10920583635334
2026-01-09 18:03:11,236,134,54.3,18,39.36666666666667,182.35591002991174,142.98924336324507
2026-01-13 07:17:30,237,158,9.16,7,175.76666666666668,33.131784403275724,142.63488226339095
2026-01-13 10:00:11,132,265,99.93,10,119.75,262.0690454177652,142.3190454177652
2026-01-13 16:52:32,197,74,57.4,16,51.86666666666667,189.24100135556534,137.37433468889867
2026-01-13 11:46:44,39,76,44.1,11,18.28333333333333,152.86285354783877,134.57952021450544
2026-01-13 12:57:02,261,51,7.2,12,176.35,43.28547824681688,133.0645217531831
2026-01-11 09:29:50,132,93,9.85,9,151.23333333333332,20.19067451721967,131.04265881611366
2026-01-23 15:26:55,137,51,9.2,15,177.55,47.78137259007411,129.7686274099259
2026-01-29 11:01:19,97,107,47.6,11,31.633333333333333,160.59597065473812,128.9626373214048
2026-01-15 09:06:06,97,158,0.4,9,133.95,5.491872652335856,128.45812734766415
2026-01-18 13:45:06,138,265,95.56,13,125.38333333333334,253.1344533671855,127.75112003385216
2026-01-18 16:28:33,158,138,15.96,16,171.38333333333333,45.6273448904983,125.75598844283502
2026-01-06 09:14:33,61,197,48.0,9,40.81666666666667,163.9864014952831,123.16973482861644
2026-01-13 16:15:08,90,232,41.5,16,23.03333333333333,146.1201723806165,123.08683904728318
2026-01-23 13:24:10,186,186,16.7,13,179.38333333333333,57.2211039852519,122.16222934808142
2026-01-30 09:04:18,11,227,40.8,9,13.016666666666667,134.87822847329508,121.86156180662842
2026-01-21 23:45:14,132,265,79.69,23,88.9,210.30905694507544,121.40905694507543
2026-01-02 15:41:39,43,264,2.18,15,133.96666666666667,14.073090472118523,119.89357619454815
2026-01-19 18:40:40,132,4,18.33,18,167.73333333333332,48.0922170236901,119.64111630964322
