pickup_hour,mae
0,4.752794544687466
1,4.2303968660614375
2,4.012751953952525
3,4.624905049495383
4,6.836550123157354
5,8.546539570757417
6,7.519119526742927
7,6.541657431654668
8,5.766838813377883
9,5.738297680570158
10,5.689312613879811
11,5.434149262310394
12,5.296373631302698
13,5.180887928718337
14,5.528453707993315
15,5.705263280238495
16,5.759148976127547
17,5.159653140840333
18,4.479359484863326
19,4.333475311119603
20,4.293221962353767
21,4.326805113743676
22,4.488015982542401
23,4.8686238879512125
