feature_name,importance,feature_family
cat__RatecodeID_1.0,0.09349581,RatecodeID
cat__RatecodeID_2.0,0.06467459,RatecodeID
cat__RatecodeID_99.0,0.06102411,RatecodeID
num__trip_distance,0.04063923,trip_distance
cat__PULocationID_138,0.013984341,PULocationID
cat__RatecodeID_5.0,0.01368252,RatecodeID
cat__PULocationID_132,0.012745338,PULocationID
cat__DOLocationID_1,0.011536969,DOLocationID
cat__DOLocationID_138,0.011355692,DOLocationID
cat__RatecodeID_3.0,0.007638775,RatecodeID
cat__DOLocationID_265,0.0059118182,DOLocationID
cat__RatecodeID_4.0,0.005832602,RatecodeID
cat__DOLocationID_51,0.0057737757,DOLocationID
cat__DOLocationID_216,0.0054534804,DOLocationID
cat__DOLocationID_228,0.005114556,DOLocationID
cat__DOLocationID_158,0.0047694203,DOLocationID
cat__DOLocationID_132,0.0046154032,DOLocationID
cat__DOLocationID_181,0.0042363713,DOLocationID
num__pickup_hour,0.0041933265,pickup_hour
cat__PULocationID_52,0.004165832,PULocationID
cat__PULocationID_29,0.0038998493,PULocationID
cat__PULocationID_98,0.0038375664,PULocationID
cat__DOLocationID_224,0.0034944203,DOLocationID
cat__PULocationID_70,0.0033602214,PULocationID
cat__PULocationID_123,0.0033298885,PULocationID
cat__DOLocationID_72,0.003267401,DOLocationID
cat__DOLocationID_117,0.0032505458,DOLocationID
cat__DOLocationID_61,0.0032465411,DOLocationID
cat__DOLocationID_91,0.0032463018,DOLocationID
cat__PULocationID_210,0.0032312402,PULocationID
cat__PULocationID_13,0.0032271734,PULocationID
cat__DOLocationID_189,0.0031730516,DOLocationID
cat__DOLocationID_32,0.0031424498,DOLocationID
cat__DOLocationID_93,0.00304592,DOLocationID
cat__PULocationID_185,0.003027289,PULocationID
cat__DOLocationID_185,0.0030101829,DOLocationID
cat__DOLocationID_227,0.0029478667,DOLocationID
cat__PULocationID_39,0.0029439298,PULocationID
cat__DOLocationID_259,0.0029273527,DOLocationID
cat__PULocationID_10,0.002924334,PULocationID
cat__DOLocationID_230,0.0028806385,DOLocationID
cat__DOLocationID_121,0.0028608618,DOLocationID
num__pickup_dayofweek,0.002849037,pickup_dayofweek
cat__PULocationID_106,0.0028082954,PULocationID
cat__PULocationID_63,0.0027522095,PULocationID
cat__DOLocationID_17,0.0027058683,DOLocationID
cat__PULocationID_17,0.0026934575,PULocationID
cat__DOLocationID_25,0.0026830754,DOLocationID
cat__DOLocationID_42,0.0026743105,DOLocationID
cat__DOLocationID_225,0.0026711207,DOLocationID
cat__DOLocationID_85,0.0026548998,DOLocationID
cat__PULocationID_215,0.002650771,PULocationID
cat__DOLocationID_10,0.002641675,DOLocationID
cat__DOLocationID_140,0.0026405097,DOLocationID
cat__DOLocationID_127,0.0026378178,DOLocationID
cat__DOLocationID_232,0.0026232642,DOLocationID
cat__PULocationID_86,0.002609359,PULocationID
cat__DOLocationID_186,0.0025892209,DOLocationID
cat__PULocationID_139,0.0025532336,PULocationID
cat__DOLocationID_39,0.0025308542,DOLocationID
cat__PULocationID_126,0.0024476703,PULocationID
cat__PULocationID_62,0.0024115928,PULocationID
cat__PULocationID_158,0.002393248,PULocationID
cat__DOLocationID_38,0.0023664508,DOLocationID
cat__PULocationID_265,0.0023301404,PULocationID
cat__PULocationID_227,0.0023033693,PULocationID
cat__PULocationID_186,0.002297782,PULocationID
cat__PULocationID_143,0.0022955628,PULocationID
cat__DOLocationID_14,0.0022681789,DOLocationID
cat__DOLocationID_77,0.0022634403,DOLocationID
cat__DOLocationID_256,0.002258835,DOLocationID
cat__DOLocationID_97,0.0022418133,DOLocationID
cat__DOLocationID_171,0.0022386408,DOLocationID
cat__PULocationID_232,0.002230418,PULocationID
cat__DOLocationID_161,0.0022236707,DOLocationID
cat__DOLocationID_151,0.0022057854,DOLocationID
cat__PULocationID_92,0.0022050124,PULocationID
cat__PULocationID_36,0.002191575,PULocationID
cat__DOLocationID_71,0.002175173,DOLocationID
cat__DOLocationID_218,0.0021651909,DOLocationID
cat__PULocationID_241,0.0021642307,PULocationID
cat__PULocationID_220,0.0021370417,PULocationID
cat__DOLocationID_195,0.0021100417,DOLocationID
cat__DOLocationID_247,0.0020959151,DOLocationID
cat__PULocationID_14,0.0020927987,PULocationID
cat__PULocationID_247,0.0020801157,PULocationID
cat__DOLocationID_67,0.002076937,DOLocationID
cat__PULocationID_91,0.002074758,PULocationID
cat__PULocationID_3,0.0020552326,PULocationID
cat__DOLocationID_236,0.0020499828,DOLocationID
cat__DOLocationID_239,0.0020291032,DOLocationID
cat__DOLocationID_154,0.002022495,DOLocationID
cat__DOLocationID_159,0.00201727,DOLocationID
cat__DOLocationID_62,0.0020102346,DOLocationID
cat__DOLocationID_163,0.0019917225,DOLocationID
cat__DOLocationID_170,0.0019855977,DOLocationID
cat__DOLocationID_36,0.0019835425,DOLocationID
cat__DOLocationID_188,0.0019725533,DOLocationID
cat__DOLocationID_131,0.0019717545,DOLocationID
cat__PULocationID_216,0.0019638375,PULocationID
cat__DOLocationID_169,0.0019636846,DOLocationID
cat__DOLocationID_243,0.0019523287,DOLocationID
cat__DOLocationID_21,0.0019488176,DOLocationID
cat__DOLocationID_49,0.0019391117,DOLocationID
cat__DOLocationID_242,0.001937944,DOLocationID
cat__PULocationID_151,0.0019329333,PULocationID
cat__PULocationID_125,0.0019311697,PULocationID
cat__PULocationID_95,0.0019233769,PULocationID
cat__DOLocationID_201,0.0019119786,DOLocationID
cat__DOLocationID_31,0.0019029705,DOLocationID
cat__PULocationID_146,0.0019008417,PULocationID
cat__DOLocationID_248,0.0018929691,DOLocationID
cat__PULocationID_25,0.0018929122,PULocationID
cat__PULocationID_182,0.0018924047,PULocationID
cat__DOLocationID_98,0.0018922375,DOLocationID
cat__DOLocationID_215,0.001882634,DOLocationID
cat__DOLocationID_74,0.0018778204,DOLocationID
cat__DOLocationID_109,0.0018772974,DOLocationID
cat__DOLocationID_164,0.0018707372,DOLocationID
cat__PULocationID_116,0.0018696313,PULocationID
cat__DOLocationID_200,0.0018634375,DOLocationID
cat__DOLocationID_82,0.0018472568,DOLocationID
cat__PULocationID_201,0.0018457855,PULocationID
cat__DOLocationID_217,0.0018423529,DOLocationID
cat__DOLocationID_64,0.0018338563,DOLocationID
cat__PULocationID_217,0.0018330455,PULocationID
cat__DOLocationID_48,0.0018252708,DOLocationID
cat__DOLocationID_208,0.001815036,DOLocationID
cat__DOLocationID_86,0.0018118193,DOLocationID
cat__DOLocationID_192,0.0018094245,DOLocationID
cat__DOLocationID_13,0.001801369,DOLocationID
cat__PULocationID_205,0.0017929951,PULocationID
cat__PULocationID_72,0.0017916412,PULocationID
cat__DOLocationID_108,0.0017852547,DOLocationID
cat__DOLocationID_75,0.0017785307,DOLocationID
cat__PULocationID_166,0.0017776348,PULocationID
cat__DOLocationID_116,0.0017682133,DOLocationID
cat__DOLocationID_19,0.0017624083,DOLocationID
cat__PULocationID_76,0.0017487454,PULocationID
cat__DOLocationID_139,0.0017366667,DOLocationID
cat__DOLocationID_191,0.0017360821,DOLocationID
cat__DOLocationID_197,0.0017356767,DOLocationID
cat__DOLocationID_155,0.0017310927,DOLocationID
cat__PULocationID_161,0.0017183946,PULocationID
cat__DOLocationID_88,0.0016986616,DOLocationID
cat__PULocationID_94,0.0016962005,PULocationID
cat__PULocationID_252,0.0016864021,PULocationID
cat__DOLocationID_238,0.0016824746,DOLocationID
cat__DOLocationID_213,0.0016781808,DOLocationID
cat__PULocationID_230,0.0016768507,PULocationID
cat__DOLocationID_11,0.0016729035,DOLocationID
cat__DOLocationID_178,0.001671808,DOLocationID
cat__DOLocationID_16,0.0016715609,DOLocationID
cat__PULocationID_150,0.0016647204,PULocationID
cat__PULocationID_54,0.001663993,PULocationID
cat__PULocationID_133,0.0016615345,PULocationID
cat__DOLocationID_210,0.001647817,DOLocationID
cat__PULocationID_117,0.0016414683,PULocationID
cat__PULocationID_28,0.0016384795,PULocationID
cat__DOLocationID_250,0.0016358285,DOLocationID
cat__DOLocationID_35,0.0016290352,DOLocationID
cat__DOLocationID_166,0.0016281562,DOLocationID
cat__PULocationID_87,0.0016262871,PULocationID
cat__DOLocationID_76,0.0016250935,DOLocationID
cat__PULocationID_169,0.0016239658,PULocationID
cat__PULocationID_88,0.0016176999,PULocationID
cat__PULocationID_153,0.0016104608,PULocationID
cat__PULocationID_177,0.0016104373,PULocationID
cat__PULocationID_213,0.0016069256,PULocationID
cat__PULocationID_262,0.0016031718,PULocationID
cat__DOLocationID_183,0.0015960514,DOLocationID
cat__DOLocationID_143,0.0015929864,DOLocationID
cat__PULocationID_248,0.0015859489,PULocationID
cat__DOLocationID_60,0.0015858081,DOLocationID
cat__DOLocationID_65,0.0015840482,DOLocationID
cat__PULocationID_19,0.0015834082,PULocationID
cat__PULocationID_224,0.0015769249,PULocationID
cat__DOLocationID_100,0.0015731874,DOLocationID
cat__PULocationID_51,0.0015724681,PULocationID
cat__PULocationID_49,0.0015709341,PULocationID
cat__PULocationID_101,0.0015683912,PULocationID
cat__PULocationID_261,0.0015652314,PULocationID
cat__DOLocationID_142,0.0015626707,DOLocationID
cat__DOLocationID_252,0.0015495789,DOLocationID
cat__PULocationID_77,0.0015386232,PULocationID
cat__DOLocationID_246,0.0015324748,DOLocationID
cat__PULocationID_56,0.0015245222,PULocationID
cat__PULocationID_120,0.0015226788,PULocationID
cat__PULocationID_159,0.0015183012,PULocationID
cat__PULocationID_85,0.0015099053,PULocationID
cat__DOLocationID_254,0.0015087536,DOLocationID
cat__PULocationID_192,0.0015076823,PULocationID
cat__DOLocationID_92,0.0015063884,DOLocationID
cat__DOLocationID_212,0.0015002788,DOLocationID
cat__PULocationID_208,0.0014999122,PULocationID
cat__PULocationID_226,0.0014964278,PULocationID
cat__DOLocationID_220,0.0014803463,DOLocationID
cat__DOLocationID_145,0.0014625434,DOLocationID
cat__PULocationID_80,0.0014610501,PULocationID
cat__PULocationID_231,0.0014602132,PULocationID
cat__PULocationID_218,0.0014588364,PULocationID
cat__DOLocationID_262,0.0014580562,DOLocationID
cat__PULocationID_244,0.0014568339,PULocationID
cat__DOLocationID_235,0.0014459807,DOLocationID
cat__DOLocationID_89,0.0014425144,DOLocationID
cat__PULocationID_7,0.0014337447,PULocationID
cat__PULocationID_129,0.0014324447,PULocationID
cat__DOLocationID_122,0.0014215917,DOLocationID
cat__PULocationID_69,0.0014194917,PULocationID
cat__DOLocationID_237,0.0014154335,DOLocationID
cat__DOLocationID_233,0.0014058296,DOLocationID
cat__DOLocationID_27,0.0014022153,DOLocationID
cat__PULocationID_38,0.001396649,PULocationID
cat__PULocationID_68,0.0013935147,PULocationID
cat__PULocationID_67,0.0013816879,PULocationID
cat__PULocationID_74,0.0013785411,PULocationID
cat__DOLocationID_107,0.0013778103,DOLocationID
cat__PULocationID_134,0.0013661071,PULocationID
cat__DOLocationID_45,0.0013637334,DOLocationID
cat__DOLocationID_150,0.0013622801,DOLocationID
cat__PULocationID_33,0.0013578738,PULocationID
cat__DOLocationID_126,0.0013574503,DOLocationID
cat__PULocationID_237,0.0013565182,PULocationID
cat__PULocationID_179,0.0013501535,PULocationID
cat__PULocationID_250,0.001349031,PULocationID
cat__payment_type_1,0.0013481333,payment_type
cat__PULocationID_135,0.0013382762,PULocationID
cat__DOLocationID_111,0.0013345918,DOLocationID
cat__PULocationID_188,0.0013337831,PULocationID
cat__DOLocationID_231,0.0013330478,DOLocationID
cat__DOLocationID_3,0.0013325241,DOLocationID
cat__PULocationID_238,0.0013280248,PULocationID
cat__DOLocationID_37,0.0013271795,DOLocationID
cat__DOLocationID_78,0.0013271194,DOLocationID
cat__PULocationID_174,0.0013250334,PULocationID
cat__DOLocationID_174,0.001322354,DOLocationID
cat__PULocationID_207,0.0013222076,PULocationID
cat__DOLocationID_125,0.0013189338,DOLocationID
cat__DOLocationID_95,0.0013122793,DOLocationID
cat__PULocationID_47,0.0012921253,PULocationID
cat__PULocationID_37,0.0012761486,PULocationID
cat__DOLocationID_24,0.0012734686,DOLocationID
cat__PULocationID_200,0.0012709012,PULocationID
cat__PULocationID_175,0.0012644742,PULocationID
cat__PULocationID_183,0.001261267,PULocationID
cat__PULocationID_124,0.0012607359,PULocationID
cat__DOLocationID_172,0.0012502425,DOLocationID
cat__PULocationID_223,0.001247816,PULocationID
cat__DOLocationID_223,0.0012470075,DOLocationID
cat__DOLocationID_180,0.0012460349,DOLocationID
cat__DOLocationID_137,0.0012419303,DOLocationID
cat__DOLocationID_22,0.0012410143,DOLocationID
cat__DOLocationID_219,0.0012373793,DOLocationID
cat__DOLocationID_160,0.0012369385,DOLocationID
cat__PULocationID_219,0.0012368014,PULocationID
cat__PULocationID_78,0.0012341614,PULocationID
cat__DOLocationID_55,0.0012303973,DOLocationID
cat__DOLocationID_175,0.0012301753,DOLocationID
cat__PULocationID_107,0.0012290286,PULocationID
cat__PULocationID_61,0.0012281892,PULocationID
cat__DOLocationID_193,0.0012245635,DOLocationID
cat__DOLocationID_70,0.0012239456,DOLocationID
cat__PULocationID_171,0.0012208626,PULocationID
cat__DOLocationID_263,0.0012198611,DOLocationID
cat__DOLocationID_149,0.0012166871,DOLocationID
cat__DOLocationID_240,0.0012138345,DOLocationID
cat__DOLocationID_123,0.0012090758,DOLocationID
cat__PULocationID_196,0.0012083544,PULocationID
cat__DOLocationID_162,0.0012062292,DOLocationID
cat__DOLocationID_244,0.0012054162,DOLocationID
cat__PULocationID_60,0.0012025501,PULocationID
cat__PULocationID_130,0.0012002502,PULocationID
cat__PULocationID_197,0.0012001876,PULocationID
cat__PULocationID_89,0.0011880979,PULocationID
cat__DOLocationID_7,0.0011861867,DOLocationID
cat__PULocationID_55,0.0011830791,PULocationID
cat__DOLocationID_135,0.0011786825,DOLocationID
cat__DOLocationID_182,0.0011724565,DOLocationID
cat__DOLocationID_241,0.0011683839,DOLocationID
cat__PULocationID_259,0.0011628589,PULocationID
cat__PULocationID_90,0.0011609097,PULocationID
cat__DOLocationID_79,0.0011606532,DOLocationID
cat__DOLocationID_152,0.0011559612,DOLocationID
cat__PULocationID_157,0.0011508379,PULocationID
cat__PULocationID_180,0.001143888,PULocationID
cat__PULocationID_242,0.0011383694,PULocationID
cat__PULocationID_140,0.0011362996,PULocationID
cat__DOLocationID_41,0.0011338519,DOLocationID
cat__PULocationID_155,0.0011326082,PULocationID
cat__PULocationID_22,0.0011308145,PULocationID
cat__PULocationID_40,0.0011297107,PULocationID
cat__DOLocationID_50,0.0011284573,DOLocationID
cat__DOLocationID_9,0.0011196566,DOLocationID
cat__PULocationID_235,0.0011158906,PULocationID
cat__DOLocationID_173,0.0011150929,DOLocationID
cat__PULocationID_195,0.0011148815,PULocationID
cat__DOLocationID_15,0.001112951,DOLocationID
cat__DOLocationID_198,0.0011021604,DOLocationID
cat__DOLocationID_167,0.001101601,DOLocationID
cat__PULocationID_137,0.001101369,PULocationID
cat__PULocationID_93,0.0010940586,PULocationID
cat__PULocationID_18,0.0010932203,PULocationID
cat__DOLocationID_203,0.0010926293,DOLocationID
cat__PULocationID_113,0.0010811435,PULocationID
cat__PULocationID_194,0.0010688291,PULocationID
cat__DOLocationID_29,0.0010672347,DOLocationID
cat__PULocationID_203,0.0010666156,PULocationID
cat__PULocationID_254,0.0010659288,PULocationID
cat__PULocationID_131,0.0010510623,PULocationID
cat__DOLocationID_34,0.0010456322,DOLocationID
cat__PULocationID_108,0.0010417071,PULocationID
cat__PULocationID_239,0.001040511,PULocationID
cat__DOLocationID_260,0.001030835,DOLocationID
cat__DOLocationID_136,0.0010278297,DOLocationID
cat__PULocationID_160,0.0010259874,PULocationID
cat__DOLocationID_54,0.001023758,DOLocationID
cat__DOLocationID_114,0.001023366,DOLocationID
cat__DOLocationID_229,0.0010166438,DOLocationID
cat__PULocationID_35,0.001015502,PULocationID
cat__DOLocationID_249,0.0010066531,DOLocationID
cat__DOLocationID_194,0.0010063037,DOLocationID
cat__DOLocationID_141,0.0010034477,DOLocationID
cat__DOLocationID_255,0.0009989778,DOLocationID
cat__PULocationID_136,0.0009989248,PULocationID
cat__PULocationID_20,0.0009927818,PULocationID
cat__DOLocationID_258,0.0009900087,DOLocationID
cat__DOLocationID_69,0.0009843991,DOLocationID
cat__DOLocationID_130,0.0009820237,DOLocationID
cat__PULocationID_9,0.0009816752,PULocationID
cat__PULocationID_181,0.0009732376,PULocationID
cat__PULocationID_263,0.00097188976,PULocationID
cat__PULocationID_212,0.00097069325,PULocationID
cat__DOLocationID_144,0.00096826925,DOLocationID
cat__DOLocationID_177,0.00096131326,DOLocationID
cat__DOLocationID_165,0.00095877075,DOLocationID
cat__DOLocationID_68,0.0009576287,DOLocationID
cat__payment_type_3,0.0009489104,payment_type
cat__PULocationID_225,0.0009486986,PULocationID
cat__PULocationID_234,0.0009463914,PULocationID
cat__PULocationID_141,0.0009435755,PULocationID
cat__DOLocationID_179,0.00094322977,DOLocationID
cat__PULocationID_162,0.00094025774,PULocationID
cat__PULocationID_145,0.0009357762,PULocationID
cat__PULocationID_4,0.00093548064,PULocationID
cat__PULocationID_119,0.0009300142,PULocationID
cat__PULocationID_209,0.0009269352,PULocationID
