tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,pickup_hour,trip_duration_min,prediction,abs_error
2026-01-14 11:28:41,25,159,2.5,11,141.75,27.990623,113.7593765258789
2026-01-12 07:35:30,246,13,18.7,7,162.06666666666666,48.997204,113.06946283976237
2026-01-08 12:21:13,238,193,8.61,12,137.53333333333333,32.71992,104.81341222127278
2026-01-10 19:34:40,142,221,20.95,19,139.68333333333334,46.531788,93.15154546101888
2026-01-13 09:40:44,201,107,6.5,9,131.5,40.433495,91.0665054321289
2026-01-12 12:59:04,165,113,11.1,12,136.8,56.91849,79.88150863647462
2026-01-29 15:55:08,45,86,9.3,15,142.41666666666666,63.3908,79.02586619059244
2026-01-23 06:40:19,18,227,8.5,6,118.7,40.314926,78.38507385253907
2026-01-25 08:37:17,201,195,18.4,8,136.91666666666666,63.9465,72.97016779581705
2026-01-05 14:55:49,51,76,20.3,14,161.61666666666667,89.05734,72.5593241373698
2026-01-31 14:11:35,143,188,9.4,14,135.05,63.48935,71.56065063476564
2026-01-11 18:28:17,41,74,1.47,18,79.8,8.582425,71.21757488250732
2026-01-30 07:41:15,35,234,2.2,7,93.06666666666666,22.86854,70.198126856486
2026-01-15 14:25:50,32,76,21.9,14,168.56666666666666,100.55223,68.01443583170573
2026-01-08 05:47:55,86,65,20.6,5,169.16666666666666,101.83541,67.33125559488931
2026-01-27 16:51:28,170,140,2.47,16,88.05,21.863117,66.18688278198242
2026-01-13 06:57:19,218,33,12.6,6,124.05,57.948006,66.10199432373047
2026-01-24 09:28:22,185,85,19.6,9,51.333333333333336,117.40628,66.07294718424478
2026-01-23 09:41:22,74,143,29.9,9,23.933333333333334,88.611275,64.67794138590494
2026-01-21 05:52:29,124,231,2.6,5,87.76666666666667,23.753183,64.0134833017985
2026-01-28 12:53:09,263,161,1.99,12,83.28333333333333,19.317865,63.96546796162923
2026-01-29 08:24:55,132,17,13.98,8,120.4,57.582024,62.81797637939454
2026-01-23 13:09:48,137,137,2.96,13,83.43333333333334,21.523226,61.91010754903158
2026-01-07 05:20:16,203,140,12.2,5,110.33333333333331,49.10777,61.22556432088214
2026-01-28 10:48:30,138,87,14.6,10,105.98333333333332,45.216274,60.76705907185871
2026-01-07 15:40:41,88,197,12.5,15,124.15,65.744675,58.40532531738282
2026-01-27 15:33:39,227,78,19.0,15,155.51666666666668,98.368416,57.14825083414715
2026-01-27 17:12:09,141,262,4.31,17,82.78333333333333,27.05919,55.72414258321126
2026-01-16 10:50:52,136,42,30.3,10,24.816666666666663,79.797325,54.98065846761068
2026-01-14 21:04:22,68,244,19.52,21,95.85,40.91167,54.93832931518554
2026-01-27 14:45:35,138,246,13.13,14,102.2,47.964268,54.23573226928711
2026-01-08 16:49:40,79,201,10.8,16,125.1,70.882805,54.217195129394526
2026-01-30 13:26:00,162,140,1.81,13,71.15,17.265907,53.88409271240235
2026-01-27 14:24:09,212,17,11.4,14,130.75,76.89473,53.85527038574219
2026-01-30 06:45:07,86,141,21.2,6,147.01666666666668,94.036476,52.980190531412774
2026-01-10 13:54:18,155,232,8.4,13,95.48333333333332,42.964256,52.519077046712226
2026-01-28 15:37:50,113,142,4.56,15,80.65,28.584206,52.0657943725586
2026-01-21 16:21:29,117,55,3.1,16,80.88333333333334,28.911802,51.97153104146322
2026-01-10 14:47:18,218,68,15.2,14,108.55,56.61801,51.93198852539062
2026-01-29 16:42:02,132,163,18.29,16,117.25,65.5057,51.744300842285156
2026-01-08 13:35:07,61,208,23.9,13,136.88333333333333,85.91374,50.96959126790364
2026-01-23 12:51:54,130,250,14.8,12,121.1,70.24073,50.85926971435546
2026-01-26 15:43:50,50,233,1.02,15,58.016666666666666,7.2163563,50.800310389200845
2026-01-12 06:20:25,55,140,11.8,6,115.25,64.54743,50.70256805419922
2026-01-14 06:54:41,86,75,23.0,6,158.26666666666668,107.82336,50.44331003824871
2026-01-21 06:45:17,218,254,22.5,6,140.51666666666668,90.22866,50.288006083170586
2026-01-13 08:52:56,60,107,9.4,8,105.81666666666666,56.389927,49.42673975626627
2026-01-01 02:03:27,216,206,4.3,2,75.58333333333333,26.2272,49.35613377888997
2026-01-30 05:45:30,89,234,9.2,5,95.21666666666668,45.88946,49.3272051493327
2026-01-13 08:45:21,22,247,4.6,8,90.33333333333331,41.204586,49.12874730428058
2026-01-08 07:15:45,91,231,11.3,7,118.36666666666666,69.26188,49.104787699381504
2026-01-27 16:28:41,107,141,3.01,16,71.76666666666667,22.731262,49.035404459635416
2026-01-28 14:33:44,79,141,3.27,14,73.61666666666666,24.591436,49.02523028055826
2026-01-30 16:32:38,138,230,9.16,16,91.16666666666669,42.31471,48.85195795694989
2026-01-29 16:20:24,170,177,7.9,16,106.75,58.314507,48.43549346923828
2026-01-12 15:54:53,237,247,6.7,15,96.48333333333332,48.624386,47.858947499593086
2026-01-22 15:17:19,233,130,11.5,15,122.6,74.87109,47.728906249999994
2026-01-31 05:11:26,132,130,4.4,5,57.38333333333333,9.697674,47.68565953572591
2026-01-17 12:12:54,77,50,13.1,12,101.51666666666668,53.98557,47.53109766642254
2026-01-27 21:51:34,132,90,17.65,21,83.4,35.894955,47.50504531860352
2026-01-28 14:45:11,137,202,5.4,14,92.05,44.70594,47.344059753417966
2026-01-15 07:10:17,226,29,17.0,7,118.83333333333331,71.5173,47.31602986653644
2026-01-28 13:24:03,236,140,1.6,13,64.33333333333333,17.034086,47.299247105916336
2026-01-22 09:24:35,69,164,7.4,9,96.85,49.863876,46.98612365722656
2026-01-06 15:10:35,3,225,16.5,15,52.083333333333336,98.85523,46.771898905436196
2026-01-21 06:44:01,213,88,14.3,6,109.63333333333334,63.231457,46.40187657674154
2026-01-14 08:56:06,177,81,15.1,8,31.266666666666666,77.110054,45.843387349446616
2026-01-29 11:31:43,107,140,2.65,11,69.95,24.27742,45.67257995605469
2026-01-30 06:46:54,132,142,19.65,6,102.51666666666668,56.900597,45.616070048014336
2026-01-27 11:33:30,138,161,9.86,11,85.2,40.138226,45.06177444458008
2026-01-29 07:45:41,132,13,15.99,7,106.11666666666666,61.915825,44.20084177652994
2026-01-30 15:13:50,140,51,12.1,15,113.83333333333331,69.63878,44.19455464680988
2026-01-20 05:21:50,67,87,8.8,5,80.71666666666667,36.66412,44.052546946207684
