feature_name,importance,feature_family
cat__RatecodeID_1.0,0.09349581,RatecodeID
cat__RatecodeID_2.0,0.06467459,RatecodeID
cat__RatecodeID_99.0,0.06102411,RatecodeID
num__trip_distance,0.04063923,trip_distance
cat__PULocationID_138,0.013984341,PULocationID
cat__RatecodeID_5.0,0.01368252,RatecodeID
cat__PULocationID_132,0.012745338,PULocationID
cat__DOLocationID_1,0.011536969,DOLocationID
cat__DOLocationID_138,0.011355692,DOLocationID
cat__RatecodeID_3.0,0.007638775,RatecodeID
cat__DOLocationID_265,0.0059118182,DOLocationID
cat__RatecodeID_4.0,0.005832602,RatecodeID
cat__DOLocationID_51,0.0057737757,DOLocationID
cat__DOLocationID_216,0.0054534804,DOLocationID
cat__DOLocationID_228,0.005114556,DOLocationID
cat__DOLocationID_158,0.0047694203,DOLocationID
cat__DOLocationID_132,0.0046154032,DOLocationID
cat__DOLocationID_181,0.0042363713,DOLocationID
num__pickup_hour,0.0041933265,pickup_hour
cat__PULocationID_52,0.004165832,PULocationID
